Date,Open,High,Low,Close,Adj Close,Volume
2013-01-08,61933000000,62265000000,61081000000,61128000000,61128000000,3840600
2013-01-09,61129000000,61812000000,61103000000,61579000000,61579000000,3236400
2013-01-10,61578000000,61947000000,61156000000,61678000000,61678000000,4100600
2013-01-11,61662000000,61683000000,61198000000,61497000000,61497000000,3161000
2013-01-14,61511000000,62285000000,61511000000,62081000000,62081000000,3481400
2013-01-15,62079000000,62151000000,61695000000,61728000000,61728000000,3819200
2013-01-16,61726000000,61787000000,61241000000,61787000000,61787000000,2789200
2013-01-17,61806000000,62309000000,61683000000,62194000000,62194000000,3382000
2013-01-18,62197000000,62395000000,61822000000,61956000000,61956000000,3495200
2013-01-21,61962000000,62052000000,61804000000,61900000000,61900000000,2143400
2013-01-22,61904000000,61995000000,61534000000,61692000000,61692000000,3475000
2013-01-23,61692000000,61969000000,61543000000,61966000000,61966000000,3209000
2013-01-24,61966000000,62249000000,60838000000,61170000000,61170000000,3605200
2013-01-28,61178000000,61313000000,59921000000,60027000000,60027000000,3426800
2013-01-29,60027000000,60428000000,59758000000,60406000000,60406000000,3192600
2013-01-30,60405000000,60405000000,59305000000,59337000000,59337000000,4661200
2013-01-31,59344000000,59771000000,59114000000,59761000000,59761000000,4749400
2013-02-01,59764000000,60496000000,59742000000,60351000000,60351000000,3412400
2013-02-04,60350000000,60350000000,59256000000,59576000000,59576000000,3347800
2013-02-05,59576000000,59974000000,59132000000,59445000000,59445000000,4429600
2013-02-06,59442000000,59582000000,58588000000,58951000000,58951000000,4410400
2013-02-07,58936000000,59435000000,58116000000,58372000000,58372000000,4071600
2013-02-08,58374000000,58638000000,58025000000,58498000000,58498000000,3152400
2013-02-13,58495000000,58754000000,58252000000,58406000000,58406000000,2803800
2013-02-14,58406000000,58406000000,57751000000,58077000000,58077000000,2385200
2013-02-15,58076000000,58352000000,57802000000,57903000000,57903000000,3519200
2013-02-18,57906000000,57929000000,57420000000,57614000000,57614000000,2697200
2013-02-19,57619000000,58061000000,57234000000,57314000000,57314000000,3921000
2013-02-20,57312000000,57569000000,56034000000,56178000000,56178000000,4950200
2013-02-21,56153000000,56227000000,55430000000,56155000000,56155000000,4915800
2013-02-22,56159000000,56742000000,56107000000,56697000000,56697000000,5113800
2013-02-25,56698000000,57157000000,56419000000,56618000000,56618000000,3965400
2013-02-26,56616000000,57007000000,56047000000,56949000000,56949000000,4510600
2013-02-27,56948000000,57402000000,56685000000,57274000000,57274000000,5034000
2013-02-28,57273000000,57798000000,56925000000,57424000000,57424000000,4441800
2013-03-01,57422000000,57422000000,56526000000,56884000000,56884000000,3889600
2013-03-04,56878000000,56878000000,56067000000,56499000000,56499000000,4033800
2013-03-05,56508000000,57227000000,55951000000,55951000000,55951000000,4261000
2013-03-06,55953000000,58150000000,55953000000,57940000000,57940000000,5806000
2013-03-07,57940000000,59472000000,57940000000,58847000000,58847000000,6338200
2013-03-08,58842000000,59031000000,58129000000,58433000000,58433000000,4129200
2013-03-11,58440000000,58547000000,57800000000,58545000000,58545000000,4129000
2013-03-12,58542000000,58709000000,58113000000,58209000000,58209000000,3805000
2013-03-13,58204000000,58411000000,57286000000,57386000000,57386000000,4536800
2013-03-14,57386000000,57850000000,56722000000,57281000000,57281000000,4581200
2013-03-15,57275000000,57532000000,56805000000,56869000000,56869000000,5182400
2013-03-18,56869000000,57152000000,56139000000,56973000000,56973000000,3741000
2013-03-19,56973000000,57038000000,56100000000,56361000000,56361000000,3828800
2013-03-20,56361000000,56396000000,55831000000,56030000000,56030000000,4179200
2013-03-21,56025000000,56044000000,55382000000,55577000000,55577000000,4368400
2013-03-22,55577000000,55893000000,55098000000,55243000000,55243000000,3744400
2013-03-25,55250000000,55450000000,54648000000,54873000000,54873000000,3849400
2013-03-26,54879000000,55763000000,54879000000,55671000000,55671000000,3755400
2013-03-27,55677000000,56178000000,55130000000,56034000000,56034000000,4052600
2013-03-28,56035000000,56374000000,55874000000,56352000000,56352000000,4373800
2013-04-01,56348000000,56348000000,55897000000,55902000000,55902000000,2755200
2013-04-02,55901000000,56257000000,54809000000,54889000000,54889000000,3588600
2013-04-03,54888000000,55574000000,54740000000,55563000000,55563000000,4480400
2013-04-04,55563000000,55579000000,54432000000,54648000000,54648000000,4574000
2013-04-05,54646000000,55227000000,53794000000,55051000000,55051000000,5975800
2013-04-08,55049000000,55136000000,54333000000,55092000000,55092000000,5504200
2013-04-09,55101000000,56305000000,55101000000,55912000000,55912000000,5186200
2013-04-10,55913000000,56976000000,55913000000,56187000000,56187000000,5388600
2013-04-11,56190000000,56284000000,55174000000,55401000000,55401000000,3836800
2013-04-12,55398000000,55531000000,54458000000,54963000000,54963000000,4805800
2013-04-15,54952000000,54952000000,52950000000,52950000000,52950000000,4709400
2013-04-16,52953000000,54095000000,52953000000,53991000000,53991000000,4353800
2013-04-17,53984000000,53984000000,52540000000,52882000000,52882000000,7413000
2013-04-18,52887000000,53474000000,52392000000,53166000000,53166000000,4554200
2013-04-19,53169000000,54018000000,53169000000,53929000000,53929000000,3733000
2013-04-22,53927000000,54298000000,53420000000,54298000000,54298000000,4174800
2013-04-23,54301000000,55282000000,54165000000,54885000000,54885000000,5365600
2013-04-24,54875000000,55546000000,54723000000,54984000000,54984000000,3949800
2013-04-25,54989000000,55544000000,54792000000,54963000000,54963000000,4347800
2013-04-26,54963000000,55034000000,54147000000,54252000000,54252000000,4660200
2013-04-29,54254000000,55336000000,54254000000,54887000000,54887000000,5931200
2013-04-30,54888000000,55910000000,54585000000,55910000000,55910000000,7138200
2013-05-02,55919000000,55919000000,55104000000,55322000000,55322000000,5436000
2013-05-03,55330000000,56366000000,55330000000,55488000000,55488000000,8860800
2013-05-06,55488000000,55542000000,54652000000,55430000000,55430000000,6452600
2013-05-07,55429000000,56450000000,55207000000,56275000000,56275000000,6235400
2013-05-08,56281000000,56814000000,55805000000,55805000000,55805000000,6519800
